"id","category","title","url","source_role","priority","why_it_matters","tags"
"APPLE-FCP-013","Transitions","Set default transition duration","https://support.apple.com/guide/final-cut-pro/set-the-default-duration-for-transitions-verad58cdd16/mac","technical_authority","reference","Documents user-level duration defaults and fixed-duration exceptions.","final-cut,transitions,duration"
"APPLE-FCP-014","Transitions","Merge jump cuts with the Flow transition","https://support.apple.com/guide/final-cut-pro/merge-jump-cuts-with-the-flow-transition-ver46d0179ac/mac","technical_authority","reference","Defines the intended use of Flow and where it should not be treated as generic magic.","final-cut,flow,jump-cut"
"APPLE-FCP-015","Tracking","Adjust object tracking","https://support.apple.com/guide/final-cut-pro/adjust-object-tracking-verad02b7ceb/mac","technical_authority","high","Official tracking-keyframe editing behavior.","final-cut,tracking"
"APPLE-FCP-016","Tracking","Track an image or clip to a moving object","https://support.apple.com/guide/final-cut-pro/track-image-clip-a-moving-object-ver2a942843b/mac","technical_authority","high","Shows transform behavior layered on object tracks.","final-cut,tracking,compositing"
"APPLE-FCP-017","Tracking","Track an effect to a moving object","https://support.apple.com/guide/final-cut-pro/track-an-effect-to-a-moving-object-ver02684fa6a/mac","technical_authority","high","Basis for tracked masks and selective effects.","final-cut,tracking,masks"
"APPLE-FCP-018","Tracking","Offset the position of a tracking effect","https://support.apple.com/guide/final-cut-pro/offset-the-position-of-a-tracking-effect-ver53e581cac/mac","technical_authority","reference","Clarifies offsets after tracking.","final-cut,tracking,offset"
"APPLE-FCP-019","Masks","Animate a mask with keyframes","https://support.apple.com/guide/final-cut-pro/animate-a-mask-with-keyframes-vercef2b6821/mac","technical_authority","high","Official mask-animation controls and behavior.","final-cut,masks,keyframes"
"APPLE-FCP-020","Color","Intro to color correction","https://support.apple.com/guide/final-cut-pro/intro-to-color-correction-ver761ca98b/mac","technical_authority","core","Canonical overview of correction, masks, and adjustment layers.","final-cut,color"
"APPLE-FCP-021","Color","Use Color Adjustments","https://support.apple.com/guide/final-cut-pro/use-the-color-adjustments-effect-ver21fdaa1d9/mac","technical_authority","core","Defines exposure, contrast, saturation, warmth, tint, and HDR-aware controls.","final-cut,color,parameters"
"APPLE-FCP-022","Color","Use Color Wheels","https://support.apple.com/guide/final-cut-pro/use-the-color-wheels-effect-verd5e1fdffd/mac","technical_authority","high","Connects tonal-range wheels to objective video scopes.","final-cut,color,wheels,scopes"
"APPLE-FCP-023","Color","Automatic color management and Color Conform","https://support.apple.com/guide/final-cut-pro/automatic-color-management-conform-ver808063493/mac","technical_authority","core","Critical for mixed SDR/HDR media and avoiding accidental color corruption.","final-cut,color-management,hdr,sdr"
"APPLE-FCP-024","Color","Intro to wide color gamut and HDR","https://support.apple.com/guide/final-cut-pro/intro-to-wide-color-gamut-and-hdr-ver09be4f91f/mac","technical_authority","high","Grounding for gamut and dynamic-range decisions.","final-cut,hdr,color-management"
"APPLE-FCP-025","Color","Use wide-gamut HDR color processing","https://support.apple.com/guide/final-cut-pro/use-wide-gamut-hdr-color-processing-ver1cd9629a5/mac","technical_authority","high","Documents project working spaces and processing consequences.","final-cut,hdr,rec2020,pq,hlg"
"APPLE-FCP-026","Color","Wide-gamut HDR tips","https://support.apple.com/guide/final-cut-pro/wide-gamut-hdr-tips-verad6f7dbbd/mac","technical_authority","reference","Practical pitfalls around Color Conform and HDR Tools.","final-cut,hdr"
"APPLE-FCP-027","Color","Color correct HDR with Pro Display XDR","https://support.apple.com/guide/final-cut-pro/color-correct-hdr-video-with-pro-display-xdr-ver27c9f61bc/mac","technical_authority","reference","Reference-monitoring constraints and viewing-environment guidance.","final-cut,hdr,monitoring"
"APPLE-FCP-028","Color","Save color correction presets","https://support.apple.com/guide/final-cut-pro/save-color-correction-presets-verbbd35f70/mac","technical_authority","reference","Useful model for reusable looks without pretending they fit every shot.","final-cut,color,presets"
"APPLE-FCP-029","Compositing","Types of blend modes","https://support.apple.com/guide/final-cut-pro/types-of-blend-modes-ver007271c06/mac","technical_authority","high","Includes Final Cut guidance for premultiplied alpha and edge artifacts.","final-cut,blend-modes,alpha"
"APPLE-FCP-030","Audio","Enhance audio","https://support.apple.com/guide/final-cut-pro/enhance-audio-verc1fab873/mac","technical_authority","core","Official behavior and caveats for EQ, voice isolation, loudness, and noise removal.","final-cut,audio,dialogue,noise"
"APPLE-FCP-031","Captions","Create closed captions","https://support.apple.com/guide/final-cut-pro/create-closed-captions-vere399dab5e/mac","technical_authority","high","Current caption generation and editing workflow.","final-cut,captions,accessibility"
"APPLE-FCP-032","Captions","Show or hide closed captions","https://support.apple.com/guide/final-cut-pro/show-or-hide-closed-captions-ver4a54140fd/mac","technical_authority","reference","Caption roles and active-language behavior.","final-cut,captions,roles"
"APPLE-FCP-033","Captions","Export closed captions","https://support.apple.com/guide/final-cut-pro/export-closed-captions-ver245c7581b/mac","technical_authority","high","Separate caption-file export by language subrole.","final-cut,captions,export"
"APPLE-FCP-034","Delivery","Export final mastering files","https://support.apple.com/guide/final-cut-pro/export-final-mastering-files-ver0192a47b8/mac","technical_authority","high","Master export and role-track behavior.","final-cut,export,mastering"
"APPLE-FCP-035","Delivery","Export File and Apple Devices destinations","https://support.apple.com/guide/final-cut-pro/export-file-and-apple-devices-destinations-ver13664388c/mac","technical_authority","high","Official destination settings including captions and stems.","final-cut,export,delivery"
"APPLE-FCP-036","Delivery","Export roles","https://support.apple.com/guide/final-cut-pro/export-roles-verb71cb7e5/mac","technical_authority","high","Media-stem delivery and channel assignment.","final-cut,roles,stems"
"APPLE-FCP-037","Delivery","Share roles as files","https://support.apple.com/guide/final-cut-pro/share-roles-as-files-verc9c84cdbc/mac","technical_authority","reference","Role-separated export workflow.","final-cut,roles,export"
"APPLE-FCP-038","Delivery","Share using Compressor","https://support.apple.com/guide/final-cut-pro/share-using-compressor-ver1ff89071/mac","technical_authority","reference","Handoff to custom encoding and caption workflows.","final-cut,compressor,export"
"APPLE-FCP-039","Delivery","Compressor Presets destination","https://support.apple.com/guide/final-cut-pro/compressor-presets-destination-ver74e31fd6c/mac","technical_authority","reference","Custom destination integration.","final-cut,compressor,presets"
"APPLE-DEV-001","Final Cut integration","Professional Video Applications","https://developer.apple.com/documentation/professional_video_applications","technical_authority","core","Primary developer namespace for supported Final Cut integration.","apple-developer,final-cut"
"APPLE-DEV-002","Final Cut integration","Workflow Extensions","https://developer.apple.com/documentation/professional-video-applications/workflow-extensions","technical_authority","core","Supported in-app extension boundary and architecture.","apple-developer,workflow-extension"
"APPLE-DEV-003","Final Cut integration","Building a Workflow Extension","https://developer.apple.com/documentation/professional-video-applications/building-a-workflow-extension","technical_authority","high","Xcode implementation path for workflow extensions.","apple-developer,workflow-extension,xcode"
"APPLE-DEV-004","Final Cut integration","FCPXTimeline","https://developer.apple.com/documentation/professional_video_applications/fcpxtimeline","technical_authority","high","Timeline observation API available to extensions.","apple-developer,timeline"
"APPLE-DEV-005","Final Cut integration","Content and Metadata Exchanges with Final Cut Pro","https://developer.apple.com/documentation/professional-video-applications/content-and-metadata-exchanges-with-final-cut-pro","technical_authority","core","Official metadata/document exchange surface.","apple-developer,fcpxml,metadata"
"APPLE-DEV-006","FCPXML","Legacy FCPXML DTD archive","https://developer.apple.com/library/archive/documentation/Miscellaneous/Conceptual/LegacyDTDsFinalCutPro/FCPXMLDTDv1.4/FCPXMLDTDv1.4.html","technical_authority","reference","Historical DTDs and version evolution; current semantics still require direct evidence.","fcpxml,dtd,archive"
"APPLE-CODEC-001","Codecs","Apple ProRes White Paper","https://www.apple.com/final-cut-pro/docs/Apple_ProRes.pdf","technical_authority","core","Codec profiles, alpha support, quality, data rates, and post-production use.","prores,codec,delivery"
"APPLE-CODEC-002","Codecs","Apple ProRes RAW White Paper","https://www.apple.com/final-cut-pro/docs/Apple_ProRes_RAW.pdf","technical_authority","reference","RAW processing, log conversion, and grading implications.","prores-raw,codec,color"
"APPLE-SUPPORT-001","Final Cut integration","Use workflow extensions in Final Cut Pro","https://support.apple.com/en-us/101630","technical_authority","reference","User-facing supported extension examples and limitations.","final-cut,workflow-extension"
"APPLE-MOTION-001","Motion","Motion User Guide PDF","https://help.apple.com/pdf/motion/en_US/motion-user-guide.pdf","technical_authority","core","Comprehensive Motion reference for templates, behaviors, masks, particles, and 3D.","apple-motion,manual"
"APPLE-MOTION-002","Templates","Guidelines for creating templates","https://support.apple.com/guide/motion/guidelines-for-creating-templates-motn141bd189/mac","technical_authority","core","Professional guidance on behaviors, performance, drop zones, and published controls.","apple-motion,templates,final-cut"
"APPLE-MOTION-003","Templates","Animation guidelines for templates","https://support.apple.com/guide/motion/animation-guidelines-for-templates-motn520b371f/mac","technical_authority","high","Explains why behaviors can adapt better than fixed keyframes.","apple-motion,templates,animation"
"APPLE-MOTION-004","Templates","Timing guidelines for templates","https://support.apple.com/guide/motion/timing-guidelines-for-templates-motnedd4e491/mac","technical_authority","core","Final Cut title, generator, and transition timing rules.","apple-motion,templates,timing"
"APPLE-MOTION-005","Masks","Guidelines for using masks in templates","https://support.apple.com/guide/motion/guidelines-for-using-masks-in-templates-motn141bc0a0/mac","technical_authority","high","Mask behavior, scaling, and template-performance tradeoffs.","apple-motion,masks,templates"
"APPLE-MOTION-006","3D","Intro to depth of field in Motion","https://support.apple.com/guide/motion/intro-to-depth-of-field-motn17c6808d/mac","technical_authority","high","Depth-of-field controls and their attention-guiding role in 3D scenes.","apple-motion,3d,depth-of-field"
"BLACKMAGIC-001","Training","DaVinci Resolve official training hub","https://www.blackmagicdesign.com/products/davinciresolve/training","technical_and_craft_authority","core","Free official curriculum spanning editing, color, audio, VFX, and delivery.","davinci,training,editing,color,audio,vfx"
"BLACKMAGIC-002","Editing","The Editor's Guide to DaVinci Resolve 20","https://documents.blackmagicdesign.com/UserManuals/DaVinci-Resolve-20-Editors-Guide.pdf","craft_authority","core","Project-based professional editing exercises and finishing workflow.","editing,documentary,dramatic,music-video"
"BLACKMAGIC-003","Color","The Colorist Guide to DaVinci Resolve 20","https://documents.blackmagicdesign.com/UserManuals/DaVinci-Resolve-20-Colorist-Guide.pdf","technical_and_craft_authority","core","Detailed practical color-correction and grading curriculum.","color,grading,scopes,nodes"
"BLACKMAGIC-004","Audio","The Fairlight Audio Guide to DaVinci Resolve 20","https://documents.blackmagicdesign.com/UserManuals/DaVinci-Resolve-20-Fairlight-Audio-Post.pdf","technical_and_craft_authority","core","Sound editing, sweetening, mixing, and mastering workflow.","audio,dialogue,mixing,mastering"
"BLACKMAGIC-005","VFX","The Visual Effects Guide to DaVinci Resolve 20","https://documents.blackmagicdesign.com/UserManuals/DaVinci-Resolve-20-Fusion-Visual-Effects.pdf","technical_and_craft_authority","core","Node compositing, tracking, keying, cleanup, and motion graphics.","vfx,compositing,fusion,tracking"
"BLACKMAGIC-006","VFX","Advanced Visual Effects in DaVinci Resolve 20","https://documents.blackmagicdesign.com/UserManuals/DaVinci-Resolve-20-Advanced-Visual-Effects.pdf","technical_and_craft_authority","high","Advanced camera tracking, particles, USD, and 3D compositing.","vfx,3d,particles,tracking"
"BLACKMAGIC-007","Training","The Beginner's Guide to DaVinci Resolve 20","https://documents.blackmagicdesign.com/UserManuals/DaVinci-Resolve-20-Beginners-Guide.pdf","technical_and_craft_authority","high","End-to-end baseline across edit, grade, sound, VFX, and export.","davinci,workflow"
"ADOBE-EDIT-001","Editing craft","Cuts in film","https://www.adobe.com/creativecloud/video/post-production/cuts-in-film.html","craft_reference","high","Accessible taxonomy of cuts including split edits.","cuts,j-cut,l-cut,editing"
"ADOBE-EDIT-002","Editing craft","L cuts and J cuts","https://www.adobe.com/creativecloud/video/post-production/cuts-in-film/l-and-j-cut.html","craft_reference","high","Sound-picture staggering for continuity and emotional flow.","j-cut,l-cut,audio-bridge"
"ADOBE-EDIT-003","Editing craft","Match cuts","https://www.adobe.com/creativecloud/video/post-production/cuts-in-film/match-cut.html","craft_reference","high","Visual and auditory correspondence across an existing cut.","match-cut,transition"
"ADOBE-EDIT-004","Editing craft","Jump cuts","https://www.adobe.com/creativecloud/video/post-production/cuts-in-film/jump-cut.html","craft_reference","reference","Purpose and mechanics of visible temporal discontinuity.","jump-cut,editing"
"ADOBE-EDIT-005","Transitions","Creative video transitions","https://www.adobe.com/creativecloud/video/post-production/transitions.html","craft_reference","reference","Broad transition language and split-edit context.","transitions,editing"
"ADOBE-AE-001","Motion design","After Effects animation basics","https://helpx.adobe.com/after-effects/desktop/animate-in-after-effects/animation-basics/animation-basics.html","technical_authority","high","Value/speed graph mental models and keyframe fundamentals.","after-effects,keyframes,graph-editor,easing"
"ADOBE-AE-002","Compositing","Alpha channels, masks, and mattes","https://helpx.adobe.com/after-effects/desktop/work-with-transparency-and-compositing/work-with-alpha-channels-and-masks/alpha-channels-masks-mattes.html","technical_authority","core","Foundational transparency, matte, feathering, and mask concepts.","alpha,masks,mattes,compositing"
"ADOBE-AE-003","Motion design","Add realism with motion blur","https://www.adobe.com/learn/after-effects/web/fine-tune-animation-with-motion-blur","technical_and_craft_reference","high","Connects movement to believable shutter-like blur.","motion-blur,animation"
"ADOBE-AE-004","Motion design","Learn After Effects","https://www.adobe.com/learn/after-effects","technical_and_craft_reference","high","Official tutorial library for animation, text, compositing, and effects.","after-effects,tutorials,motion-design"
"ADOBE-DESIGN-001","Typography","Typography design guide","https://www.adobe.com/creativecloud/design/discover/typography.html","craft_reference","high","Hierarchy, readability, and type fundamentals relevant to titles.","typography,hierarchy,readability"
"FOUNDRY-001","Compositing","Learn Nuke","https://learn.foundry.com/nuke","technical_and_craft_authority","high","Official compositor training path.","nuke,compositing,vfx"
"FOUNDRY-002","Keying","Practical Compositing in Nuke: Keying Best Practices","https://learn.foundry.com/course/4691/view/practical-compositing-in-nuke-10-keying-best-practices","technical_and_craft_authority","high","Professional keying on imperfect plates.","nuke,keying,matte"
"W3C-COMP-001","Compositing","Compositing and Blending Level 1","https://www.w3.org/TR/compositing-1/","technical_standard","reference","Formal source-over, blending, isolation, and compositing model.","compositing,blend-modes,standard"
"CIECHANOWSKI-001","Compositing","Alpha Compositing","https://ciechanow.ski/alpha-compositing/","implementation_reference","high","Exceptionally clear visual explanation of alpha math and filtering pitfalls.","alpha,premultiplication,compositing"
"FRAMEIO-001","Post-production","Video Post-Production Workflow Guide","https://workflow.frame.io/guide/","craft_authority","core","Comprehensive capture-to-delivery map with dialogue, color, conform, and workflow context.","workflow,post-production"
"FRAMEIO-002","Post-production","Frame.io Insider","https://blog.frame.io/","craft_reference","high","Deep practitioner articles and interviews across editing, audio, color, VFX, and workflow.","editing,color,audio,vfx,interviews"
"FRAMEIO-003","Color","Frame.io Color archive","https://blog.frame.io/category/workflow/color/","craft_reference","high","Focused color science and grading articles.","color,gamma,grading"
"FRAMEIO-004","Color","Guide to ACES","https://blog.frame.io/2019/09/09/guide-to-aces/","technical_and_craft_reference","high","Practical explanation of ACES across editorial, VFX, and grading.","aces,color-management"
"FRAMEIO-005","Final Cut color","FCPX color grading tools","https://blog.frame.io/2018/01/10/fcpx-color-grading-tools-game-changer/","craft_reference","reference","Historical but useful walkthrough of Final Cut color tools and LUT workflow.","final-cut,color,lut"
"ACES-001","Color management","ACESCentral","https://acescentral.com/","technical_authority","core","Academy-backed color-management concepts and current ecosystem.","aces,color-management,academy"
"ACES-002","Color science","The Academy Color Encoding System","https://www.mdpi.com/2313-433X/3/4/40","research_reference","reference","Technical overview of ACES as a color-management system.","aces,color-science,paper"
"MURCH-001","Editing craft","Walter Murch masterclass","https://www.youtube.com/watch?v=KuUUP2eP1_k","craft_authority","core","Long-form first-person discussion of editing and sound-design judgment.","murch,editing,sound,masterclass"
"MURCH-002","Editing craft","Walter Murch and the Rule of Six","https://gointothestory.blcklst.com/walter-murch-and-the-rule-of-six-47de34be834a","craft_reference","core","Emotion/story/rhythm/eye-trace hierarchy in concise form.","murch,rule-of-six,emotion,rhythm"
"MURCH-003","Editing craft","Rule of Six explainer","https://www.studiobinder.com/blog/walter-murch-rule-of-six/","craft_reference","high","Illustrated examples of the hierarchy and intentional rule-breaking.","murch,eye-trace,continuity"
"EFAP-001","Visual language","Every Frame a Painting channel","https://www.youtube.com/user/everyframeapainting","inspiration_and_craft_authority","core","Foundational visual essays on editing, staging, movement, comedy, and sound.","video-essay,editing,visual-language"
"EFAP-002","Visual language","Every Frame a Painting complete playlist","https://www.youtube.com/playlist?list=PL2w4TvBbdQ3sMABf317ExCob_v6rW2-4s","inspiration_and_craft_authority","core","Structured access to the channel's craft analyses.","video-essay,playlist"
"EFAP-003","Editing craft","How Does an Editor Think and Feel?","https://www.youtube.com/watch?v=3Q3eITC01Fg","craft_authority","core","Direct study of performance, intuition, and why an editor chooses a moment.","editing,intuition,emotion"
"EFAP-004","Visual comedy","Edgar Wright: How to Do Visual Comedy","https://www.youtube.com/watch?v=3FOzD4Sfgag","craft_authority","high","Framing, movement, cutting, and sound used as one comic system.","visual-comedy,edgar-wright,sound"
"FILM-TEXT-001","Film language","Editing chapter — I've Seen Things","https://icc.pressbooks.pub/iccfilm110/chapter/chapter-6-editing/","educational_reference","high","Open textbook overview of continuity, cutting on action, and match cuts.","editing,continuity,montage,open-textbook"
"BBC-001","Training","BBC editing skills course overview","https://wspartners.bbc.com/article/learning-training-editing-skills","craft_authority","reference","BBC training coverage from fundamentals through sound mixes and transitions.","bbc,editing,training"
"BBC-002","Training","BBC Academy archive playlist","https://www.youtube.com/playlist?list=PLfrPxedFhjY6Hudqlw7lRBP7HnoX5LC4p","craft_reference","reference","Archived production and journalism craft lessons.","bbc,academy,playlist"
"INSIDEEDIT-001","Pacing","Master pacing for story impact","https://www.insidetheedit.com/blog/pacing-in-video-editing","craft_authority","high","Practical model of pacing variation as emotional design.","pacing,rhythm,emotion"
"INSIDEEDIT-002","B-roll","How pro editors structure B-roll","https://www.insidetheedit.com/blog/b-roll-editing-structure","craft_authority","high","Horizontal action flow versus vertical emotional alignment.","b-roll,documentary,emotional-alignment"
"PREMIUMBEAT-001","Editing craft","Walter Murch criteria for editing","https://www.premiumbeat.com/blog/walter-murch-how-to-edit-film/","craft_reference","reference","Concise practitioner interpretation of Rule of Six and rhythm.","murch,rhythm,editing"
"POND5-001","Transitions","Five types of match cuts","https://blog.pond5.com/21323-5-types-of-match-cuts-and-how-to-use-them-well/","craft_reference","high","Graphic, movement, sound, and metaphorical match-cut ideas.","match-cut,metaphor,transition"
"ADOBE-EDU-001","Video essays","Video Essayist: Every Frame a Painting","https://edex.adobe.com/teaching-resources/video-essayist-every-frame-a-painting","educational_reference","reference","Teaching resource for the video-essay form.","video-essay,education"
"ARTTITLE-001","Title design","Art of the Title","https://www.artofthetitle.com/","inspiration_and_craft_authority","core","Curated title-sequence archive with designer interviews and breakdowns.","title-design,typography,inspiration"
"IDEO-001","Title design","Five great film title designers","https://www.ideo.com/journal/get-inspired-by-5-great-film-title-designers","inspiration_reference","reference","Compact map of important title-design traditions.","title-design,saul-bass"
"IOWA-THESIS-001","Typography","Typography in film title sequence design","https://dr.lib.iastate.edu/bitstreams/7bc0698e-4c59-47b2-a40d-9ffc15f796ad/download","research_reference","reference","Academic analysis of typography's role in title sequences.","typography,title-design,thesis"
"RMCAD-001","Typography","Typography for motion graphics","https://www.rmcad.edu/blog/typography-for-motion-graphics-fonts-that-move-the-message/","educational_reference","high","Readability, hierarchy, font choice, and motion-specific type concerns.","typography,motion,readability"
"VMG-001","Motion design","Ten principles of motion design","https://blog.vmgstudios.com/10-principles-motion-design","craft_reference","high","Timing, spacing, rhythm, easing, and choreography.","motion-design,timing,easing"
"SOM-001","Motion design","School of Motion","https://schoolofmotion.com/","craft_reference","high","Professional motion-design curriculum and practice map.","motion-design,animation"
"SOM-002","Motion design","School of Motion blog","https://schoolofmotion.com/blog","inspiration_and_craft_reference","reference","Breakdowns, interviews, and technique articles.","motion-design,interviews,inspiration"
"JAKEMOTION-001","Animation","Animation principles for motion designers","https://www.jakeinmotion.com/animation-principles-for-motion-designers","craft_reference","reference","Application of classic animation principles to modern motion design.","animation-principles,motion-design"
"HAWAIKI-001","Apple Motion","Hawaiki Apple Motion tutorials","https://hawaiki.co/MotionTutorials","implementation_and_craft_reference","high","Deep practical Motion template and distortion tutorials with caveats.","apple-motion,tutorials,templates"
"FINALCUTBRO-001","Apple Motion","Apple Motion tutorials playlist","https://www.youtube.com/playlist?list=PL02OH3lOOLeKQF7yoEcQ18V8qr-7UtOSI","implementation_reference","reference","Practical Motion-to-Final-Cut techniques including 3D photo treatments.","apple-motion,playlist"
"PARALLAX-001","Living Still","2.5D parallax still-image tutorial","https://www.youtube.com/watch?v=MUjigkZTlaY","implementation_and_craft_reference","high","Foreground extraction, background fill, and camera-perspective workflow.","parallax,still-image,after-effects"
"PARALLAX-002","Living Still","Animating a still with 2.5D depth","https://academy.brickvisual.com/learning-hub/animating-still-image","implementation_and_craft_reference","high","Fusion workflow using depth maps, displacement, camera motion, and finishing.","parallax,depth-map,fusion"
"PARALLAX-003","Living Still","Deep Pan","https://fxfactory.com/info/deeppan/","implementation_reference","reference","Example of AI depth maps driving parallax in Final Cut/Motion.","parallax,depth,final-cut,plugin"
"NIKLAUS-001","Living Still research","3D Ken Burns Effect from a Single Image","https://arxiv.org/abs/1909.05483","research_reference","core","Seminal depth, view synthesis, and inpainting approach for compelling still animation.","parallax,depth,inpainting,paper"
"NIKLAUS-002","Living Still research","3D Ken Burns ACM paper","https://dl.acm.org/doi/10.1145/3355089.3356528","research_reference","reference","Archival publication page for the method.","parallax,depth,siggraph"
"SOUND-001","Audio post","Complete film sound-mixing tutorial","https://www.youtube.com/watch?v=Sh6kPfNDy5o","craft_reference","high","End-to-end dialogue, Foley, effects, music, and final mix demonstration.","sound-design,mixing,film"
"SOUND-002","Audio post","Film sound mixing guide","https://www.asoundeffect.com/film-sound-mixing/","craft_reference","high","Timestamped map of a full professional audio-post process.","sound-design,mixing,foley"
"SOUND-003","Audio post","Audio post-production complete guide","https://borisfx.com/blog/audio-post-production-complete-guide/","craft_reference","high","Session setup, cleanup, dialogue editing, ADR, sound design, and mix sequence.","audio-post,dialogue,adr,foley"
"SOUND-004","Audio post","Ultimate guide to audio post and sound design","https://www.344audio.com/post/the-ultimate-guide-to-audio-post-production-sound-design","craft_reference","reference","Professional role and workflow breakdown including dialogue editing.","audio-post,sound-design,dialogue"
"SOUND-005","Dialogue","Dialogue mixing tutorial with Matt Yocum","https://www.youtube.com/watch?v=XBsPONPk0LY","craft_authority","high","Clear, natural, and consistent film-dialogue mixing.","dialogue,mixing"
"IZOTOPE-001","Audio","iZotope learning channel","https://www.youtube.com/user/izotopeinc","technical_and_craft_reference","reference","Professional restoration, mixing, mastering, and repair tutorials.","audio,restoration,mixing,mastering"
"EBU-001","Loudness","EBU R 128","https://tech.ebu.ch/docs/r/r128.pdf","technical_standard","core","Programme loudness, loudness range, and true-peak recommendation.","loudness,lufs,true-peak,standard"
"ITU-001","Loudness","ITU-R BS.1770","https://www.itu.int/rec/R-REC-BS.1770","technical_standard","core","Current algorithmic standard for programme loudness and true peak.","loudness,bs1770,standard"
"YOUTUBE-001","Analytics","Master four YouTube metrics","https://blog.youtube/creator-and-artist-stories/master-these-4-metrics/","platform_authority","high","Official link between retention, structure, and storytelling feedback.","youtube,retention,analytics"
"YOUTUBE-002","Analytics","Measure key moments for audience retention","https://support.google.com/youtube/answer/9314415?co=GENIE.Platform%3DDesktop&hl=en","platform_authority","core","Official interpretation of intros, spikes, dips, and top moments.","youtube,retention,analytics"
"YOUTUBE-003","Delivery","Recommended upload encoding settings","https://support.google.com/youtube/answer/1722171?hl=en","platform_authority","core","Container, codec, frame-rate, bitrate, and audio recommendations.","youtube,encoding,delivery"
"YOUTUBE-004","Creator resources","YouTube Creator resources","https://www.youtube.com/creators/resources/","platform_authority","reference","Current official creator, policy, and growth resources.","youtube,creator,policy"
"YOUTUBE-005","Creator education","YouTube Creators channel","https://www.youtube.com/channel/UCkRfArvrzheW2E7b6SVT7vQ","platform_authority","reference","Official tutorials and product education.","youtube,creator,tutorials"
"YOUTUBE-006","B-roll","Documentary scene editing: A-roll and B-roll","https://www.youtube.com/watch?v=S9iZ2ZvHVHo","craft_reference","high","Practical documentary-scene pacing and B-roll construction.","documentary,b-roll,a-roll"
"YOUTUBE-007","Sound design","Sound design for B-roll","https://www.youtube.com/watch?v=x-vRhq4zBfo","craft_reference","reference","Step-by-step ambience and effect layering around B-roll.","b-roll,sound-design"
"YOUTUBE-008","Sound design","Cinematic sound for B-roll","https://www.youtube.com/watch?v=YVRmuL6ahdE","craft_reference","reference","Recording and post-production ideas for spatially convincing B-roll sound.","b-roll,sound-design"
"W3C-A11Y-001","Accessibility","WCAG 2.1","https://www.w3.org/TR/WCAG21/","safety_and_accessibility_standard","core","Normative captions, audio description, and accessible media requirements.","wcag,accessibility,captions,audio-description"
"W3C-A11Y-002","Accessibility","Captions and subtitles","https://www.w3.org/WAI/media/av/captions/","safety_and_accessibility_authority","core","Practical definition and content requirements for captions.","captions,subtitles,accessibility"
